Group,Subgroup,Week,Time Period Label,Time Period Start Date,Time Period End Date,Value
,Bachelors degree or higher,11,July 9 - July 14,07/09/2020 12:00:00 AM,07/14/2020 12:00:00 AM,47
,18 - 29 years,12,July 16 - July 21,07/16/2020 12:00:00 AM,07/21/2020 12:00:00 AM,41.9
,30 - 39 years,12,July 16 - July 21,07/16/2020 12:00:00 AM,07/21/2020 12:00:00 AM,48.2
,40 - 49 years,12,July 16 - July 21,07/16/2020 12:00:00 AM,07/21/2020 12:00:00 AM,47.7
,50 - 59 years,12,July 16 - July 21,07/16/2020 12:00:00 AM,07/21/2020 12:00:00 AM,46.9
,60 - 69 years,12,July 16 - July 21,07/16/2020 12:00:00 AM,07/21/2020 12:00:00 AM,42.8
,70 - 79 years,12,July 16 - July 21,07/16/2020 12:00:00 AM,07/21/2020 12:00:00 AM,37.3
,80 years and above,12,July 16 - July 21,07/16/2020 12:00:00 AM,07/21/2020 12:00:00 AM,29.7
,Male,12,July 16 - July 21,07/16/2020 12:00:00 AM,07/21/2020 12:00:00 AM,40.1
,Female,12,July 16 - July 21,07/16/2020 12:00:00 AM,07/21/2020 12:00:00 AM,48.3
,Hispanic or Latino,12,July 16 - July 21,07/16/2020 12:00:00 AM,07/21/2020 12:00:00 AM,42.9
,"Non-Hispanic White, single race",12,July 16 - July 21,07/16/2020 12:00:00 AM,07/21/2020 12:00:00 AM,44.4
,"Non-Hispanic Black, single race",12,July 16 - July 21,07/16/2020 12:00:00 AM,07/21/2020 12:00:00 AM,45.2
,"Non-Hispanic Asian, single race",12,July 16 - July 21,07/16/2020 12:00:00 AM,07/21/2020 12:00:00 AM,39.7
,"Non-Hispanic, other races and multiple races",12,July 16 - July 21,07/16/2020 12:00:00 AM,07/21/2020 12:00:00 AM,53.2
,Less than a high school diploma,12,July 16 - July 21,07/16/2020 12:00:00 AM,07/21/2020 12:00:00 AM,38
,High school diploma or GED,12,July 16 - July 21,07/16/2020 12:00:00 AM,07/21/2020 12:00:00 AM,41.4
,Some college/Associates degree,12,July 16 - July 21,07/16/2020 12:00:00 AM,07/21/2020 12:00:00 AM,47.1
,Bachelors degree or higher,12,July 16 - July 21,07/16/2020 12:00:00 AM,07/21/2020 12:00:00 AM,46.2
age,18 - 29 years,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,38.7
age,30 - 39 years,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,40.9
age,40 - 49 years,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,42.3
age,50 - 59 years,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,42.4
age,60 - 69 years,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,36.7
age,70 - 79 years,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,33.6
age,80 years and above,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,25.4
gender,Male,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,35.1
gender,Female,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,42.7
race,Hispanic or Latino,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,42.5
race,"Non-Hispanic White, single race",13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,38.1
race,"Non-Hispanic Black, single race",13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,40.3
race,"Non-Hispanic Asian, single race",13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,34.8
race,"Non-Hispanic, other races and multiple races",13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,44.4
education,Less than a high school diploma,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,41.6
education,High school diploma or GED,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,33.2
education,Some college/Associates degree,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,41.7
education,Bachelors degree or higher,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,41.5
,18 - 29 years,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,36.8
,30 - 39 years,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,40.8
